question,document
When should I expect this course to be available again?,bd31146b0e
"Is there a planned next offering for the course, and when is it?",bd31146b0e
What’s the next semester or season this course will run in?,bd31146b0e
Where do I find the course lectures or videos for each lesson?,31456f4b5f
Is there a main page or repo I should open first to access the lesson videos?,31456f4b5f
How can I tell which video goes with which lesson in the course?,31456f4b5f
Should I use the GitHub repo or the YouTube playlist when looking for updated lesson materials?,31456f4b5f
Where are the lesson pages that link to the relevant videos?,31456f4b5f
"Where do I check the LLM Zoomcamp syllabus, homework deadlines, and my course progress?",20c5a1347e
Is there a course management platform for LLM Zoomcamp where I can follow the current cohort structure?,20c5a1347e
How can I keep track of deadlines and homework for the LLM Zoomcamp?,20c5a1347e
What site should I use to monitor my progress in LLM Zoomcamp?,20c5a1347e
Does LLM Zoomcamp have the same management system as the other DataTalks.Club Zoomcamps?,20c5a1347e
"Does each module have its own live class or office hour, or is everything just pre-recorded?",d65e05bd7a
Where should I ask if I get stuck on a lesson or homework before any live help happens?,d65e05bd7a
How do I find out when a live session for the course is scheduled?,d65e05bd7a
Is there some extra paid option with regular Zoom office hours for more support?,d65e05bd7a
Are the course materials free even if I don't join the optional support community?,d65e05bd7a
Can I count a Bluesky post toward the learning in public credits for this course?,dbf5369006
Are Bluesky updates accepted as learning in public credit proof?,dbf5369006
"If I share my progress on Bluesky, will that qualify for the public learning credits?",dbf5369006
Does the course allow Bluesky posts to be used for learning in public credits?,dbf5369006
Is a post on Bluesky enough to get credit for learning in public?,dbf5369006
Where can I find the LLM Zoomcamp Telegram channel link?,054f3fd58f
Is there a Telegram group for LLM Zoomcamp announcements?,054f3fd58f
"What’s the Telegram channel for the course, and what should I use Slack for?",054f3fd58f
"Can I use the LLM Zoomcamp Telegram channel for technical questions too, or is there a different place?",054f3fd58f
Where do I go for course announcements and where should I ask technical questions?,054f3fd58f
Why does my FAQ dataset have a different number of records than the one shown in the videos?,e2d595f23c
I ran the code and the FAQ count doesn't match the lecture—did I do something wrong?,e2d595f23c
Is it normal for the FAQ dataset size to change since the course videos were recorded?,e2d595f23c
Why are there more or fewer FAQ entries now compared to what appears in the May 2026 videos?,e2d595f23c
"Does the live FAQ data get updated over time, and could that explain the record mismatch?",e2d595f23c
Can I still turn in homework after the deadline if the form hasn’t been closed yet?,a9353fadfe
"The due date already passed, but the submission link is still open — does that mean I can still submit?",a9353fadfe
"If the homework form is still available, is it okay to send in my answers even after the deadline?",a9353fadfe
"Once the deadline is over, do I lose the chance to submit, or only after the form closes?",a9353fadfe
"My assignment deadline passed, but I can still access the form. Should I just submit it now?",a9353fadfe
Can I still turn in homework after the deadline if the form is still open?,cdc3b285e5
Do you ever give deadline extensions for homework submissions?,cdc3b285e5
What happens if I miss a homework — does it stop me from getting the certificate?,cdc3b285e5
Are late homework submissions accepted once the submission form closes?,cdc3b285e5
"Does homework count for the certificate, or is it only for the leaderboard?",cdc3b285e5
"Will the name I enter for my certificate be visible to everyone online, or is it kept private?",651ba06b34
"Does the certificate name get shared with third parties, or only appear on the certificate itself?",651ba06b34
What name shows up on the public leaderboard — the certificate name or a separate nickname?,651ba06b34
Where can I change both my leaderboard name and the name that will be printed on the certificate?,651ba06b34
Can I keep my real name off the leaderboard but still have it on the certificate?,651ba06b34
Why doesn’t this course start with LangChain right away?,b7cdde6b25
"What’s the reason for building prompting, retrieval, and indexing manually first?",b7cdde6b25
"Is LangChain considered a framework for LLM apps, and if so what does it do?",b7cdde6b25
Why is it better to understand the basic RAG pieces before using a framework?,b7cdde6b25
Can I use LangChain later in the course after learning the fundamentals?,b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run `responses.create`?,f5df151c59
What does the OpenAI `Insufficient credits` message mean in `responses.create`?,f5df151c59
How can I fix the error that appears when calling OpenAI `responses.create`?,f5df151c59
Is the `responses.create` failure caused by not having enough OpenAI account credits?,f5df151c59
What should I check if `responses.create` returns an OpenAI API error about credits?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
"Does the OpenAI API have any free quota, or do I need to add billing before using it?",152af39a53
"What should I do to fix the ""you exceeded your current quota"" error in my notebook?",152af39a53
"After adding credits, do I also need to change the model name in `responses.create()`?",152af39a53
"If I already paid and it still fails, do I need to create a new API key?",152af39a53
How much money do I actually need to spend to use the OpenAI API for this course?,554d0eb78b
Do I need to add a big balance before I can start using the OpenAI API?,554d0eb78b
What’s the minimum I can recharge on OpenAI for the course assignments?,554d0eb78b
"Will using the OpenAI API in this course end up costing a lot, or is it usually cheap?",554d0eb78b
Is it true that the OpenAI API usage for the course is only a few cents at most?,554d0eb78b
Do I need an OpenAI API subscription to finish the course homework?,85384a18e5
Can I complete the assignments without paying for OpenAI API?,85384a18e5
Are there any free or cheap alternatives to OpenAI API for this course?,85384a18e5
Where can I find the list of OpenAI API alternatives mentioned in the course?,85384a18e5
Is it okay to skip OpenAI API and use another LLM service for the homework?,85384a18e5
Why does the course recommend using uv instead of pip and virtualenv?,f81dea8f7e
What makes uv better or easier for setting up Python projects in this course?,f81dea8f7e
"Do I have to use uv, or can I still use pip and virtualenv for the exercises?",f81dea8f7e
"What Python tools does uv replace, and why is that useful?",f81dea8f7e
Why is uv used in the lessons if the usual Python setup tools already work?,f81dea8f7e
"Why does my Jupyter notebook keep saying OPENAI_API_KEY is missing, even though I put it in a .env file?",86d99bbf21
Do I need python-dotenv for the API key to show up in notebook cells?,86d99bbf21
Where should I load the .env file before creating the OpenAI client in Jupyter?,86d99bbf21
"Could the issue be that my env variable name is wrong, even if the key is in the file?",86d99bbf21
What’s the right way to make OPENAI_API_KEY available inside a notebook?,86d99bbf21
How do I keep my API keys in a .env file and read them in Python?,233dabe430
What’s the easiest way to load OpenAI or Groq keys from environment variables?,233dabe430
Do I need to install anything to use a .env file for secrets?,233dabe430
How can I make sure my .env file doesn’t get pushed to GitHub?,233dabe430
What’s the proper way to use python-dotenv to get API keys in a script?,233dabe430
"Can I use a different LLM provider than the one the homework suggests, or is that required?",ee43413718
"If I don’t want to use the recommended model, which other providers are allowed for the assignment?",ee43413718
"Do I have to pay for a service to complete the homework, or can I use a free/local option instead?",ee43413718
"If I switch to OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, or a local model, will I need to change the code?",ee43413718
Where can I find a list of alternative API providers or model options for this course?,ee43413718
How can I connect Google Gemini to the Module 1 notebook using the OpenAI-style API endpoint?,0ae5c221b9
What do I need to set up in my `.env` before I can call Gemini from the course notebook?,0ae5c221b9
Is there a simple example of creating an OpenAI client for Gemini and wrapping it in an `llm` function?,0ae5c221b9
"If I use Gemini instead of the usual model in the RAG notebook, what parts of the code do I need to change?",0ae5c221b9
"Does the Module 1 notebook work with the older chat completions format for Gemini, or do I need to switch to the newer Responses API?",0ae5c221b9
"How do I install Ollama on macOS, Windows, or Linux?",1d0b969028
What’s the easiest way to download and set up Ollama on my machine?,1d0b969028
"After installing Ollama, how can I run a model locally from the terminal?",1d0b969028
How do I check if the Ollama server is working on localhost?,1d0b969028
"What Python package do I need for Ollama, and what’s a basic example of using it?",1d0b969028
How do I fix the connection refused error when I try prompting my Ollama RAG in the homework?,c6fc2d4d11
My Ollama server seems down and I’m getting connection refused — what should I restart?,c6fc2d4d11
What command should I run to bring Ollama back up if the notebook gives a connection refused error?,c6fc2d4d11
"If I stop and restart the notebook cell, do I need to run the Ollama serve cell again to avoid this error?",c6fc2d4d11
Is there a quick way to restart the Ollama server after a connection refused issue during the assignment?,c6fc2d4d11
Why do I get a different token count from OpenAI when I use tiktoken on my prompt?,bf0403d21b
"In a chat.completions.create request, what extra tokens does OpenAI add that I can't see in the text?",bf0403d21b
"Can newlines, spaces, or odd Unicode characters change the token count compared to my local estimate?",bf0403d21b
"If my prompt text is 320 tokens in tiktoken, why might the API show something like 327?",bf0403d21b
Where does the extra overhead in OpenAI chat token counting come from?,bf0403d21b
"How can I load my API key automatically when I enter the project folder, instead of typing export every time?",8b2f5e9d04
"Is there a tool like direnv that works with .env files too, not just .envrc?",8b2f5e9d04
What should I put in my shell config so the env vars get loaded on cd?,8b2f5e9d04
Should I keep .env and .envrc out of git when using local API keys?,8b2f5e9d04
"If I'm using Codespaces or a Python script, what's the recommended way to handle secrets?",8b2f5e9d04
How do I decide the best field weights in minsearch or a similar search engine?,87d4ea4e08
Is there a proper way to tune search field weights instead of just guessing?,87d4ea4e08
What’s the easiest way to test different weights for retrieval in a RAG search setup?,87d4ea4e08
"Should I build a labeled set before changing field weights, and how would I use it?",87d4ea4e08
Which metrics should I check when comparing different search weight settings?,87d4ea4e08
How do I get my documents ready for RAG so they’re actually easy to search and chunk later?,649c280e6d
"What should I clean out of source docs before building a RAG pipeline, and what should I keep as useful context?",649c280e6d
"Do I need to convert everything to JSON for RAG, or is any structured format okay?",649c280e6d
What’s the best way to split documents for RAG without losing related context?,649c280e6d
Which metadata is worth storing for retrieval and ranking in a RAG setup?,649c280e6d
"In GitHub Codespaces, I get a ""Failed to hardlink files"" warning from uv — do I need to worry about it, or does the install still work?",acf8fa5356
"Why does uv complain about hardlinking in Codespaces, and what does it do instead when that happens?",acf8fa5356
How can I turn off the uv hardlink warning for just my current shell session?,acf8fa5356
"What’s the easiest way to make uv use copy mode every time I open a terminal, so I don’t keep seeing this warning?",acf8fa5356
"Does this hardlink issue mean uv is broken in Codespaces, or is it just a warning with a normal fallback?",acf8fa5356
I’m getting “dotenv is not recognized” in Python — what package do I need to install?,0bed1f48da
What’s the easiest way to add dotenv support for my project?,0bed1f48da
Do I need to install python-dotenv instead of dotenv?,0bed1f48da
"After installing the package, how do I load the .env file in code?",0bed1f48da
Can someone show the command to fix the missing dotenv import?,0bed1f48da
Can I do the course on my own machine instead of using Codespaces?,aa310de435
"Is Codespaces required, or can I set everything up locally?",aa310de435
What do I need installed if I want to run the course on my laptop?,aa310de435
"If I skip Codespaces, how should I keep my setup reproducible?",aa310de435
Is it okay to work locally as long as I can install the needed tools?,aa310de435
"If I keep working in Codespaces but never commit, does my code stay anywhere or can it disappear later?",610ccb23c0
"Is the code I write in GitHub Codespaces saved automatically, or do I need to commit it to avoid losing it?",610ccb23c0
"What happens to my changes in a Codespace if the VM gets stopped, disconnected, or deleted before I commit?",610ccb23c0
Do I have to commit regularly in Codespaces even though the code is already inside the Linux VM?,610ccb23c0
"Where is my work actually stored in Codespaces, and why is committing still recommended?",610ccb23c0
"Why does WSL2 say the model needs more memory than I have, even though my PC has enough RAM?",f3dd94f323
How do I increase the RAM WSL2 can use on Windows?,f3dd94f323
Where should I put the .wslconfig file to change WSL2 memory settings?,f3dd94f323
What exact line do I need to add in .wslconfig for 8 GB RAM?,f3dd94f323
How can I check in WSL that the new memory limit was applied?,f3dd94f323
"My Codespace is stuck on ""Finishing up"" and never opens — what's the usual fix?",830f3d2018
"If GitHub Codespaces won’t reconnect, should I try browser VS Code or a different browser first?",830f3d2018
What do I do when my Codespace setup looks like it disappeared after restart or rebuild?,830f3d2018
"Do files in /workspaces survive stopping a Codespace, or can they vanish when I recreate it?",830f3d2018
"When Codespaces keeps acting flaky, is it better to delete it, make a new one, or just run the course locally?",830f3d2018
"Can I use something other than OpenAI for the RAG assignment, or does the course require OpenAI specifically?",c6ff9083c0
"If a model provider is blocked where I live, what are my options for still running the course code?",c6ff9083c0
Do I need to rewrite the code if I switch from OpenAI to another provider like Groq or Mistral?,c6ff9083c0
Is it possible to run the LLM locally with tools like Ollama or LM Studio and use that in the course?,c6ff9083c0
What should I change in the notebook if I want to point it at an OpenAI-compatible API or a model I host myself?,c6ff9083c0
What exactly counts as a tool or function in agentic RAG?,c296ea5a21
"Is there really any difference between tools and functions, or are they basically the same thing?",c296ea5a21
When would the model decide to call a tool instead of answering directly?,c296ea5a21
"Can a tool be used for things like search, database queries, APIs, or calculations?",c296ea5a21
How is tool calling in agentic RAG different from the fixed retrieval step in basic RAG?,c296ea5a21
Which free models can I use if I need tool use support for development?,0d74a3616f
Does Groq have any no-cost models that work with tools or function calling?,0d74a3616f
"Besides Groq, what other model providers support tool use or function calling?",0d74a3616f
"If I switch away from OpenAI, do I need to change my code for tool calling?",0d74a3616f
Where can I read the docs for using Groq tools with models like Deepseek R1 or Llama 4?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I switch from OpenAI to another model?,9e7b3f0c25
"Is `client.responses.create(...)` only for OpenAI models, or should it work with Mistral/Groq/Gemini too?",9e7b3f0c25
What should I read from the API response if I'm using a non-OpenAI provider instead of `response.output`?,9e7b3f0c25
Can I keep using `chat.completions.create(...)` for the homework if my provider doesn't support the newer Responses API?,9e7b3f0c25
Do I need to change the tools format when I move the same agent code to a different provider?,9e7b3f0c25
Why am I getting the Azure OpenAI 400 error that says tools[0].function is missing?,b9c7c6bb34
What should the get_weather_tool JSON look like to fix the missing required parameter error?,b9c7c6bb34
Do I need to wrap my weather tool inside a function field for Azure OpenAI?,b9c7c6bb34
How should I define the city parameter in the weather tool schema so the API accepts it?,b9c7c6bb34
Can you show the correct tool format for get_weather when using Azure OpenAI?,b9c7c6bb34
Why do I get a 404 error in toyaikit when I try Groq or some other non-OpenAI model?,0224d980b3
How can I make toyaikit work with Groq instead of OpenAI without changing my tools code?,0224d980b3
What should I use in toyaikit if I want Anthropic Claude to run tool calls instead of OpenAI?,0224d980b3
Is there a way to use the standard chat.completions endpoint in toyaikit for providers that are OpenAI-compatible?,0224d980b3
"Does runner.loop() work for a single prompt in toyaikit, and what does it return?",0224d980b3
Where do I get the Module 1 homework questions?,53f15299b6
Is the homework page on GitHub or only in the course platform?,53f15299b6
What links should I open for the 2026 Module 1 homework?,53f15299b6
Do I need the course platform to see the homework instructions?,53f15299b6
Where are the homework details and submission info for Module 1?,53f15299b6
Why am I getting an empty list back after filtering my query in homework Q3?,83da208a64
Could this be because I indexed the data in the wrong order before applying the filter?,83da208a64
Do I need to set up the index settings before inserting the documents for this homework question?,83da208a64
My search returns nothing after I add filters — what step am I missing in the index setup?,83da208a64
"In module 1 homework Q3, how should I fix an empty result when querying with filters?",83da208a64
"Why do I get a 402 error from OpenRouter when I call responses.create(), and how can I stop it?",cfb07a27d5
"Do I need to set max_output_tokens manually in OpenRouter, and what value should I use for the homework?",cfb07a27d5
"In Module 1, where should I add the output token limit if I'm using rag_helper.py?",cfb07a27d5
"For Q6 with ToyAIKit, what extra setting do I pass to OpenAIClient to avoid the 402 issue?",cfb07a27d5
"If lowering max_output_tokens doesn't fix it, what should I check in my .env and OpenRouter key settings?",cfb07a27d5
"In the Module 1 homework, what does it mean to point RAG at the chunk index instead of the original docs?",b4300adeb1
Should I fit the search index on the split chunks or on the full documents in this homework?,b4300adeb1
"If I already have `documents` and `chunks`, which one should `index.fit(...)` use?",b4300adeb1
Why does the homework say to retrieve chunks rather than the whole document text for RAG?,b4300adeb1
How does using chunked documents in the index affect what gets sent into the prompt?,b4300adeb1
"If my numeric homework result is a little different from the choices, should I just pick the nearest one?",5e4ca64cb5
Why can my answer not match the multiple-choice options exactly in this homework?,5e4ca64cb5
What should I check if my result is way off from all the provided answers?,5e4ca64cb5
Is it okay to choose an option even when my output differs slightly because of rounding or dataset changes?,5e4ca64cb5
"Do I need to get the exact same number as one of the homework options, or is the closest answer fine?",5e4ca64cb5
"Where do I check first when the homework wording is confusing, the course page or the GitHub instructions?",7d3a2e3505
"For Module 1 in the 2026 cohort, which GitHub links should I open to understand the homework?",7d3a2e3505
"Why does the homework sometimes feel different from the lesson, even though it's based on the same topic?",7d3a2e3505
"If I still don't understand the assignment after reading the instructions, what should I post in Slack?",7d3a2e3505
"Should I send a screenshot when asking for help with homework, or is it better to paste the command output as text?",7d3a2e3505
How can I see the token count for Module 1 homework when I'm not using OpenAI?,fe8fed31e6
"If my model gives a response object, which field should I check for prompt tokens?",fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, or Groq in this homework?",fe8fed31e6
What should I do if my provider doesn't show token usage at all?,fe8fed31e6
"For the multiple-choice homework, what do I pick if my token count is only approximate?",fe8fed31e6
"Why does my homework link get rejected with a 500 or other non-200 error, and what should I check first?",bcdb8740ce
Do I need to make my GitHub repo public for the grader to access it?,bcdb8740ce
Should I submit the repo URL with `.git` at the end or just the normal link?,bcdb8740ce
How can I quickly tell if the submission URL is reachable from outside my account?,bcdb8740ce
What are the common reasons the checker can’t open my homework repository?,bcdb8740ce
"What exactly are embeddings in vector search, and why do people convert text or other non-numerical data into numbers?",69430a79a8
How do embeddings keep the meaning or context of the original data when they turn it into numerical form?,69430a79a8
"Why should similar inputs produce similar embedding vectors, and how is that useful in practice?",69430a79a8
What does it mean when people say the closeness of embedding values can be used for semantic similarity?,69430a79a8
"Are embeddings connected to the vector space model or dimensionality reduction, and if so, how?",69430a79a8
"How do I get rid of the warning about ""multi-qa-mpnet-base-dot-v1"" being made on sentence transformers v3.0.0 beta?",aa3f597424
Is there a way to suppress the sentence-transformers version warning for the mpnet model?,aa3f597424
"What should I upgrade if I keep seeing the message about model ""multi-qa-mpnet-base-dot-v1"" and v3.0.0?",aa3f597424
"Why am I getting a warning about the mpnet model being created on a newer sentence-transformers version, and how do I fix it?",aa3f597424
"What pip command should I run to stop the ""made on sentence transformers v3.0.0 bet"" warning?",aa3f597424
Why did the lesson just use `.dot(...)` for cosine similarity instead of normalizing first?,92cd22cada
"Are the embeddings from `model.encode(...)` already unit-length, or do I need to normalize them myself?",92cd22cada
"In the homework, why isn’t dot product enough to compare TF-IDF + SVD vectors?",92cd22cada
What changes when the vectors are not normalized and I try to use dot product as cosine similarity?,92cd22cada
"When is dot product the same as cosine similarity, and when do I need to normalize the vectors?",92cd22cada
"For vector search, do I need to embed just the answer, just the question, or both together?",5c4a8d2e60
"Is there a best choice between embedding only text, only questions, or question plus text in the vector index?",5c4a8d2e60
Why would embedding the answer alone work for question retrieval?,5c4a8d2e60
When does embedding the question field make sense instead of the answer field?,5c4a8d2e60
"Should I concatenate question and answer before embedding, or is that usually not worth it?",5c4a8d2e60
How does cosine similarity actually measure how close two text vectors are?,db78580409
Why do people use cosine similarity for comparing documents instead of another metric?,db78580409
"What does the cosine value mean when it’s 1, 0, or -1?",db78580409
Can cosine similarity be used with word counts or TF-IDF vectors in text search?,db78580409
What does it mean if two document vectors are orthogonal in cosine similarity?,db78580409
Why does cosine similarity become just a dot product once the embeddings are normalized?,95feb4e75b
How can matrix multiplication be used to compute cosine similarity between a query and all document vectors?,95feb4e75b
Why do we normalize the query and document embeddings before searching with cosine similarity?,95feb4e75b
What makes cosine similarity depend only on the direction of vectors and not their length?,95feb4e75b
"In vector search, why is cosine similarity efficient to calculate with matrix multiplication?",95feb4e75b
"For Module 2, do I need to make a brand new GitHub repo, or is starting a fresh codespace enough?",1e829a8c6f
Why does the course recommend using a separate codespace for the vector search module instead of reusing the one from Module 1?,1e829a8c6f
"If I set up a new codespace for Module 2, will it still come from my existing repository, or does it create a different repo behind the scenes?",1e829a8c6f
"Can I just keep all my work in the codespace, or should I commit it somewhere in case I delete that environment later?",1e829a8c6f
"Is there any real setup overhead for Module 2, or is creating the new codespace pretty fast?",1e829a8c6f
Why does download.py stay stuck at 0% when it tries to get model.onnx from HuggingFace?,29b69fbe0b
Is there a workaround if the model download keeps freezing before it starts?,29b69fbe0b
Can I just grab model.onnx in the browser and put it in the right folder instead of waiting for the script?,29b69fbe0b
What file path should I use if I download the ONNX model manually from HuggingFace?,29b69fbe0b
"If model.onnx is already saved locally, will download.py still try to fetch it again?",29b69fbe0b
"Why do the dot-product version and the loop version of vector search not match exactly, even though they should be the same math?",e889793af9
"I computed scores with `X.dot(v_query)` and then with a Python loop, and `np.allclose` is failing — is something wrong with my code?",e889793af9
Why do I get tiny differences in vector search results when I switch between matrix multiplication and iterating row by row?,e889793af9
Is it normal for two ways of calculating embedding similarity to differ in the last few decimal places?,e889793af9
How should I compare vector search outputs if exact equality is too strict?,e889793af9
Why is my Q2 cosine similarity from Module 2 homework not matching any of the answer choices?,eaa17a9dc6
"For the homework, do I need to use sentence-transformers for embeddings, or is there a specific Embedder I should use instead?",eaa17a9dc6
"Could the cosine similarity be wrong because I embedded the wrong thing, like the filename or full record instead of the content field?",eaa17a9dc6
"Is it okay if my cosine score is a little different from the listed options, or does that mean I did something wrong?",eaa17a9dc6
"For Q2, should I compare the page vector with the query vector from Q1, and are the vectors already normalized?",eaa17a9dc6
How do I set up Gemini API keys so Kestra can use them in the module?,3860e5fe8b
Why does Kestra need both a normal GEMINI_API_KEY and a SECRET_GEMINI_API_KEY?,3860e5fe8b
What’s the right way to export OpenAI and Tavily keys before starting Kestra?,3860e5fe8b
How do I make Kestra read my secrets from environment variables when I run the flows?,3860e5fe8b
"In a Kestra flow, do I use the SECRET_ version of the key or just the secret name?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help with creating Kestra flows, and what setting am I missing?",04440cab11
I set up the Copilot but it still refuses to answer anything except flow creation — do I need a different Gemini key variable?,04440cab11
"In Kestra OSS, is the AI Copilot supposed to use the same Gemini secret as the flows, or does it need a plain API key instead?",04440cab11
I exported my key but Copilot still gives the canned reply — what should I check before restarting Kestra?,04440cab11
"Could this Kestra Copilot error be because of a bad API key, missing env var, or Gemini quota issue, and how do I fix it?",04440cab11
My Kestra flow says the Gemini key is missing even though I set SECRET_GEMINI_API_KEY — what am I doing wrong?,c8ca21af33
"Could a bad base64 encode break SECRET_GEMINI_API_KEY in Kestra, and how do I avoid that?",c8ca21af33
"Do I need to restart Kestra after exporting the secret env vars, or should it pick them up automatically?",c8ca21af33
"When I use the key inside a flow, should I call secret('SECRET_GEMINI_API_KEY') or something else?",c8ca21af33
"Is there a better way to load the API keys for Kestra, like using a .env file instead of exporting them by hand?",c8ca21af33
Why can’t I just use a notebook for this instead of an orchestrator like Kestra?,193612db63
What does Kestra add that a simple script or notebook doesn’t have?,193612db63
"In this module, why are we using Kestra for the AI workflows rather than just running code manually?",193612db63
"How does orchestration help with things like retries, scheduling, and monitoring in AI pipelines?",193612db63
"Do Kestra AI plugins work only with OpenAI, or can I switch to other providers too?",193612db63
Why do I get `JSONDecodeError: Expecting value` when I try to parse the LLM output for ground-truth questions?,a3c7e1b4f9
How can I make the model return only valid JSON so `json.loads()` works without crashing?,a3c7e1b4f9
Is there a way to force OpenAI chat completions to output a JSON object instead of markdown or extra text?,a3c7e1b4f9
What should I put in the prompt so the model gives me exactly a `questions` list with 5 strings?,a3c7e1b4f9
"Does this JSON-only output trick work with other providers too, like Gemini or Groq?",a3c7e1b4f9
Why does my Jupyter notebook kernel die when I try to embed the ground-truth set?,b8f2d6a30c
What can I do on a low-RAM laptop or Codespaces if the embedding model keeps crashing the notebook?,b8f2d6a30c
Is there a smaller sentence-transformers model I can use instead of the one from the course?,b8f2d6a30c
"If I switch to a different embedding model, do I need to run the evaluation again?",b8f2d6a30c
What’s a better way to generate embeddings if the notebook runs out of memory?,b8f2d6a30c
Why does adding sleep between Gemini requests still end up with a quota error later on?,c1e9f4b820
What’s the easiest workaround if I keep getting blocked while generating the ground-truth data?,c1e9f4b820
"Can I switch to another model or API to avoid these rate limits, and which one works well?",c1e9f4b820
How should I adjust my threading or worker count so I don’t hit the API too hard?,c1e9f4b820
"If the job gets interrupted by a limit, what’s the best way to continue without starting over?",c1e9f4b820
How do I fix the WinError 126 fbgemm.dll missing error on Windows when importing torch?,15e931476c
Is installing the Visual C++ Redistributable enough to solve the fbgemm.dll module not found issue?,15e931476c
"Do I need full Visual Studio for the PyTorch fbgemm.dll error, or is Visual Studio Code enough?",15e931476c
What should I install on Windows if Python says it can't load torch\lib\fbgemm.dll or one of its dependencies?,15e931476c
I'm getting an OSError about fbgemm.dll in PyTorch on Windows — what's the usual fix?,15e931476c
"I'm getting `psycopg2.OperationalError: could not translate host name ""postgres"" to address` when I run `python prep.py`. What should I change to fix it?",4b65d5542d
"Why does `prep.py` fail with a host name lookup error for `postgres`, and how do I make it connect properly?",4b65d5542d
"When I run the prep script, it says `No such host is known` for `postgres`. What’s the usual fix in the `.env` file?",4b65d5542d
How do I resolve the PostgreSQL connection error from `python prep.py` if the host `postgres` can’t be found?,4b65d5542d
"My script throws `OperationalError` with `postgres` as the host. Should I use `localhost` somewhere, and if so, where?",4b65d5542d
How do I make Pandas show the full text in a column instead of cutting it off with ...?,641aedbbf5
What setting do I change in Pandas if I want to read the whole Explanation column in the offline-rag-evaluation notebook?,641aedbbf5
"Why is Pandas truncating my long column values, and how can I display the entire cell text?",641aedbbf5
Is there a quick way to stop Pandas from limiting column width when I inspect LLM judge outputs?,641aedbbf5
What option should I use in Pandas to avoid the default 50-character column display limit?,641aedbbf5
How do I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What’s the easiest way to normalize each vector in a Pandas Series?,5039707c1a
Can I use apply() to make a normalized vector column in pandas?,5039707c1a
How do I divide each vector by its norm in a dataframe column?,5039707c1a
Is there a simple numpy one-liner for normalizing vectors in pandas?,5039707c1a
How do I get the 75th percentile from a Pandas column?,b4c8ac5a0c
What's the Pandas way to compute a 0.75 quantile for a Series?,b4c8ac5a0c
How can I find a column's percentile value in a DataFrame with Pandas?,b4c8ac5a0c
